red,blue,score 
"['[U:1:77996061]', '[U:1:87295840]', '[U:1:214149442]', '[U:1:438002921]', '[U:1:1290056453]', '[U:1:892993531]']","['[U:1:123354056]', '[U:1:198762683]', '[U:1:176300678]', '[U:1:217627615]', '[U:1:1229126044]', '[U:1:1241493147]']","[2, 5]"
"['[U:1:123354056]', '[U:1:157537683]', '[U:1:1280960540]', '[U:1:155227384]', '[U:1:489591700]', '[U:1:87295840]']","['[U:1:77996061]', '[U:1:198762683]', '[U:1:176300678]', '[U:1:438002921]', '[U:1:1229126044]', '[U:1:1290056453]']","[1, 1]"
"['[U:1:198762683]', '[U:1:489591700]', '[U:1:130663236]', '[U:1:123354056]', '[U:1:84980776]', '[U:1:868296991]']","['[U:1:77996061]', '[U:1:157537683]', '[U:1:1280960540]', '[U:1:839420488]', '[U:1:155227384]', '[U:1:409701962]', '[U:1:209647313]']","[5, 1]"
"['[U:1:123354056]', '[U:1:198762683]', '[U:1:157537683]', '[U:1:868296991]', '[U:1:77996061]', '[U:1:84980776]']","['[U:1:171938429]', '[U:1:1280960540]', '[U:1:131062660]', '[U:1:156440371]', '[U:1:155227384]', '[U:1:839420488]']","[2, 1]"
"['[U:1:1086921574]', '[U:1:842830053]', '[U:1:126226938]', '[U:1:100621014]', '[U:1:1162104086]', '[U:1:184444257]']","['[U:1:87295840]', '[U:1:105013257]', '[U:1:395380187]', '[U:1:117579832]', '[U:1:155227384]', '[U:1:1290056453]']","[0, 5]"
"['[U:1:129808893]', '[U:1:1086921574]', '[U:1:117579832]', '[U:1:1290056453]', '[U:1:1241493147]', '[U:1:126226938]']","['[U:1:342061447]', '[U:1:155227384]', '[U:1:87295840]', '[U:1:1162104086]', '[U:1:176300678]', '[U:1:842830053]', '[U:1:105013257]']","[2, 4]"
"['[U:1:342061447]', '[U:1:893485704]', '[U:1:117579832]', '[U:1:1290056453]', '[U:1:87295840]', '[U:1:155227384]']","['[U:1:395380187]', '[U:1:126226938]', '[U:1:842830053]', '[U:1:100621014]', '[U:1:1162104086]', '[U:1:1241493147]']","[4, 1]"
"['[U:1:342061447]', '[U:1:155227384]', '[U:1:117579832]', '[U:1:105013257]', '[U:1:87295840]', '[U:1:1162104086]']","['[U:1:126226938]', '[U:1:176300678]', '[U:1:100621014]', '[U:1:1241493147]', '[U:1:1278657853]', '[U:1:1290056453]']","[0, 5]"
"['[U:1:87295840]', '[U:1:1278657853]', '[U:1:1057488316]', '[U:1:865677399]', '[U:1:1241493147]', '[U:1:176300678]']","['[U:1:1290056453]', '[U:1:155227384]', '[U:1:126226938]', '[U:1:105013257]', '[U:1:342061447]', '[U:1:395380187]']","[2, 4]"
"['[U:1:395380187]', '[U:1:87295840]', '[U:1:100621014]', '[U:1:865677399]', '[U:1:213858425]', '[U:1:1241493147]']","['[U:1:402718118]', '[U:1:1057488316]', '[U:1:1290056453]', '[U:1:117579832]', '[U:1:361612154]', '[U:1:176300678]']","[1, 3]"
"['[U:1:183962091]', '[U:1:129395833]', '[U:1:129836458]', '[U:1:229064914]', '[U:1:84980776]', '[U:1:326361429]', '[U:1:198762683]']","['[U:1:319827811]', '[U:1:990182760]', '[U:1:117579832]', '[U:1:198377443]', '[U:1:489591700]', '[U:1:919085644]']","[0, 3]"
"['[U:1:395380187]', '[U:1:129395833]', '[U:1:317981219]', '[U:1:84980776]', '[U:1:198377443]', '[U:1:842830053]']","['[U:1:229064914]', '[U:1:198762683]', '[U:1:117579832]', '[U:1:103352915]', '[U:1:990182760]', '[U:1:108814174]']","[3, 1]"
"['[U:1:317981219]', '[U:1:489591700]', '[U:1:842830053]', '[U:1:123354056]', '[U:1:198762683]', '[U:1:110923884]']","['[U:1:1108040484]', '[U:1:156440371]', '[U:1:1094264912]', '[U:1:246241288]', '[U:1:919085644]', '[U:1:1268599460]', '[U:1:108814174]']","[3, 3]"
"['[U:1:209647313]', '[U:1:44079783]', '[U:1:110923884]', '[U:1:198762683]', '[U:1:246241288]', '[U:1:198377443]']","['[U:1:155227384]', '[U:1:233139493]', '[U:1:989144808]', '[U:1:44186221]', '[U:1:62591040]', '[U:1:990182760]']","[3, 2]"
"['[U:1:198762683]', '[U:1:288196026]', '[U:1:96015935]', '[U:1:454319943]', '[U:1:989144808]', '[U:1:489591700]']","['[U:1:213852565]', '[U:1:100621014]', '[U:1:296417871]', '[U:1:1278657853]', '[U:1:919085644]', '[U:1:110923884]']","[1, 5]"
"['[U:1:44079783]', '[U:1:209647313]', '[U:1:247861908]', '[U:1:207531281]', '[U:1:990182760]', '[U:1:233139493]', '[U:1:113688546]']","['[U:1:1280960540]', '[U:1:1026268791]', '[U:1:155227384]', '[U:1:198377443]', '[U:1:361202567]', '[U:1:409701962]']","[0, 5]"
"['[U:1:156501558]', '[U:1:489591700]', '[U:1:296417871]', '[U:1:454319943]', '[U:1:183577455]', '[U:1:316836000]']","['[U:1:113688546]', '[U:1:198762683]', '[U:1:100621014]', '[U:1:919085644]', '[U:1:110923884]', '[U:1:1278657853]']","[0, 1]"
"['[U:1:288196026]', '[U:1:247861908]', '[U:1:209647313]', '[U:1:198377443]', '[U:1:409701962]', '[U:1:361612154]']","['[U:1:990182760]', '[U:1:161368092]', '[U:1:44079783]', '[U:1:155227384]', '[U:1:207531281]', '[U:1:233139493]']","[0, 3]"
"['[U:1:100621014]', '[U:1:110923884]', '[U:1:454319943]', '[U:1:183577455]', '[U:1:113688546]', '[U:1:919085644]']","['[U:1:316836000]', '[U:1:296417871]', '[U:1:1278657853]', '[U:1:108814174]', '[U:1:1026268791]', '[U:1:238849269]']","[0, 5]"
"['[U:1:183577455]', '[U:1:113688546]', '[U:1:208665602]', '[U:1:110923884]', '[U:1:316836000]', '[U:1:207531281]']","['[U:1:342061447]', '[U:1:105013257]', '[U:1:60959017]', '[U:1:29086594]', '[U:1:275885026]', '[U:1:155227384]']","[0, 5]"
"['[U:1:402718118]', '[U:1:110923884]', '[U:1:242575436]', '[U:1:113688546]', '[U:1:316836000]', '[U:1:307757367]']","['[U:1:183577455]', '[U:1:155227384]', '[U:1:342061447]', '[U:1:207531281]', '[U:1:127437410]', '[U:1:839420488]']","[3, 2]"
"['[U:1:110923884]', '[U:1:150597945]', '[U:1:127437410]', '[U:1:839420488]', '[U:1:29086594]', '[U:1:485271219]']","['[U:1:126226938]', '[U:1:402718118]', '[U:1:207531281]', '[U:1:316836000]', '[U:1:307757367]', '[U:1:105013257]']","[2, 2]"
"['[U:1:402718118]', '[U:1:73086130]', '[U:1:242575436]', '[U:1:316836000]', '[U:1:207531281]', '[U:1:150597945]']","['[U:1:229064914]', '[U:1:409701962]', '[U:1:110923884]', '[U:1:350058571]', '[U:1:839420488]', '[U:1:185493316]']","[3, 1]"
"['[U:1:1162104086]', '[U:1:104803329]', '[U:1:1241493147]', '[U:1:249346279]', '[U:1:60091269]', '[U:1:314449381]']","['[U:1:1278657853]', '[U:1:110923884]', '[U:1:98528050]', '[U:1:302544351]', '[U:1:919085644]', '[U:1:73086130]']","[1, 5]"
"['[U:1:301648784]', '[U:1:104803329]', '[U:1:1162104086]', '[U:1:73086130]', '[U:1:1280960540]', '[U:1:839420488]']","['[U:1:110923884]', '[U:1:314449381]', '[U:1:919085644]', '[U:1:1004919863]', '[U:1:489591700]', '[U:1:1278657853]']","[0, 0]"
"['[U:1:1280960540]', '[U:1:1258031600]', '[U:1:314449381]', '[U:1:1278657853]', '[U:1:839420488]', '[U:1:1050919710]']","['[U:1:98528050]', '[U:1:229064914]', '[U:1:104803329]', '[U:1:156440371]', '[U:1:110923884]', '[U:1:1086921574]']","[3, 0]"
"['[U:1:157537683]', '[U:1:73086130]', '[U:1:198377443]', '[U:1:314449381]', '[U:1:110923884]', '[U:1:98528050]']","['[U:1:289877780]', '[U:1:1207021770]', '[U:1:1086921574]', '[U:1:1050919710]', '[U:1:1280960540]', '[U:1:150597945]']","[5, 0]"
"['[U:1:1050919710]', '[U:1:157537683]', '[U:1:198377443]', '[U:1:155227384]', '[U:1:171938429]', '[U:1:428241817]']","['[U:1:98528050]', '[U:1:110923884]', '[U:1:126226938]', '[U:1:73086130]', '[U:1:154482075]', '[U:1:97033636]']","[2, 1]"
"['[U:1:110923884]', '[U:1:97033636]', '[U:1:84980776]', '[U:1:157537683]', '[U:1:155227384]', '[U:1:428241817]']","['[U:1:126226938]', '[U:1:247861908]', '[U:1:154482075]', '[U:1:208665602]', '[U:1:842830053]', '[U:1:1050919710]']","[4, 3]"
"['[U:1:247861908]', '[U:1:150597945]', '[U:1:157537683]', '[U:1:1050919710]', '[U:1:110923884]', '[U:1:842830053]']","['[U:1:126226938]', '[U:1:97033636]', '[U:1:1290056453]', '[U:1:119225495]', '[U:1:139248838]', '[U:1:342061447]']","[0, 5]"
"['[U:1:1280960540]', '[U:1:150597945]', '[U:1:209647313]', '[U:1:154627863]', '[U:1:116428232]', '[U:1:73086130]']","['[U:1:44079783]', '[U:1:198762683]', '[U:1:247861908]', '[U:1:158263311]', '[U:1:198377443]', '[U:1:970085272]']","[0, 5]"
"['[U:1:198762683]', '[U:1:1050919710]', '[U:1:1280960540]', '[U:1:44079783]', '[U:1:73086130]', '[U:1:350058571]']","['[U:1:129395833]', '[U:1:161368092]', '[U:1:150597945]', '[U:1:247861908]', '[U:1:324620866]', '[U:1:198377443]']","[5, 0]"
"['[U:1:198762683]', '[U:1:154627863]', '[U:1:116428232]', '[U:1:44079783]', '[U:1:158263311]', '[U:1:73086130]']","['[U:1:324620866]', '[U:1:489591700]', '[U:1:1258031600]', '[U:1:317981219]', '[U:1:1050919710]', '[U:1:970085272]']","[2, 2]"
"['[U:1:126226938]', '[U:1:198762683]', '[U:1:213852565]', '[U:1:989144808]', '[U:1:150597945]', '[U:1:158743039]']","['[U:1:98528050]', '[U:1:96015935]', '[U:1:438002921]', '[U:1:155227384]', '[U:1:208665602]', '[U:1:131797528]']","[1, 4]"
"['[U:1:342061447]', '[U:1:998239081]', '[U:1:161368092]', '[U:1:155227384]', '[U:1:156269909]', '[U:1:1094264912]']","['[U:1:402718118]', '[U:1:1290056453]', '[U:1:119225495]', '[U:1:156276611]', '[U:1:207531281]', '[U:1:150597945]']","[0, 5]"
"['[U:1:288196026]', '[U:1:998239081]', '[U:1:1290056453]', '[U:1:155227384]', '[U:1:207531281]', '[U:1:198762683]']","['[U:1:402718118]', '[U:1:161368092]', '[U:1:150597945]', '[U:1:409701962]', '[U:1:342061447]', '[U:1:350058571]']","[5, 2]"
"['[U:1:402718118]', '[U:1:998239081]', '[U:1:288196026]', '[U:1:207531281]', '[U:1:150597945]', '[U:1:350058571]']","['[U:1:198762683]', '[U:1:96015935]', '[U:1:155227384]', '[U:1:29086594]', '[U:1:1290056453]', '[U:1:409701962]']","[2, 3]"
"['[U:1:1258031600]', '[U:1:207531281]', '[U:1:1280960540]', '[U:1:162401190]', '[U:1:198377443]', '[U:1:489591700]']","['[U:1:109149329]', '[U:1:409701962]', '[U:1:1290056453]', '[U:1:105013257]', '[U:1:919085644]', '[U:1:156440371]']","[1, 3]"
"['[U:1:207531281]', '[U:1:917436186]', '[U:1:998239081]', '[U:1:198762683]', '[U:1:485271219]', '[U:1:1290056453]']","['[U:1:38101899]', '[U:1:402718118]', '[U:1:156269909]', '[U:1:409701962]', '[U:1:29086594]', '[U:1:95707166]']","[5, 3]"
"['[U:1:402718118]', '[U:1:146679886]', '[U:1:95707166]', '[U:1:198762683]', '[U:1:485271219]', '[U:1:38101899]']","['[U:1:131400746]', '[U:1:29086594]', '[U:1:1290056453]', '[U:1:156269909]', '[U:1:409701962]', '[U:1:207531281]']","[2, 2]"
"['[U:1:146679886]', '[U:1:154627863]', '[U:1:29086594]', '[U:1:95707166]', '[U:1:155227384]', '[U:1:198762683]']","['[U:1:402718118]', '[U:1:485271219]', '[U:1:131400746]', '[U:1:207531281]', '[U:1:95372503]', '[U:1:838707653]']","[2, 3]"
"['[U:1:202531898]', '[U:1:95707166]', '[U:1:989144808]', '[U:1:183962091]', '[U:1:914486159]', '[U:1:129395833]']","['[U:1:87295840]', '[U:1:978148563]', '[U:1:119225495]', '[U:1:339024341]', '[U:1:409701962]', '[U:1:94683089]']","[1, 4]"
"['[U:1:95707166]', '[U:1:100621014]', '[U:1:96015935]', '[U:1:409701962]', '[U:1:914486159]', '[U:1:73086130]']","['[U:1:1280960540]', '[U:1:247861908]', '[U:1:173604068]', '[U:1:989144808]', '[U:1:857409932]', '[U:1:489591700]', '[U:1:79782244]']","[1, 5]"
"['[U:1:395380187]', '[U:1:302544351]', '[U:1:77434945]', '[U:1:485271219]', '[U:1:361612154]', '[U:1:116428232]']","['[U:1:60959017]', '[U:1:207531281]', '[U:1:155227384]', '[U:1:73086130]', '[U:1:233139493]', '[U:1:149518001]']","[4, 1]"
"['[U:1:109149329]', '[U:1:213858425]', '[U:1:126226938]', '[U:1:198762683]', '[U:1:156269909]', '[U:1:249346279]']","['[U:1:485271219]', '[U:1:155227384]', '[U:1:207531281]', '[U:1:150597945]', '[U:1:130301058]', '[U:1:409701962]']","[3, 0]"
"['[U:1:1290056453]', '[U:1:302544351]', '[U:1:94683089]', '[U:1:409701962]', '[U:1:156276611]', '[U:1:207531281]']","['[U:1:109149329]', '[U:1:402718118]', '[U:1:198762683]', '[U:1:156269909]', '[U:1:96015935]', '[U:1:307757367]']","[1, 2]"
"['[U:1:155227384]', '[U:1:1290056453]', '[U:1:409701962]', '[U:1:485271219]', '[U:1:1241493147]', '[U:1:130301058]']","['[U:1:156269909]', '[U:1:213858425]', '[U:1:96015935]', '[U:1:155136833]', '[U:1:249346279]', '[U:1:207531281]']","[1, 2]"
"['[U:1:1203006976]', '[U:1:77996061]', '[U:1:205163219]', '[U:1:198762683]', '[U:1:1278657853]', '[U:1:970085272]']","['[U:1:128635382]', '[U:1:921741768]', '[U:1:330517268]', '[U:1:117579832]', '[U:1:73086130]', '[U:1:213858425]']","[1, 1]"
"['[U:1:198762683]', '[U:1:117579832]', '[U:1:205163219]', '[U:1:307757367]', '[U:1:229064914]', '[U:1:107304716]']","['[U:1:842830053]', '[U:1:119225495]', '[U:1:77996061]', '[U:1:213858425]', '[U:1:1278657853]', '[U:1:73086130]']","[5, 0]"
"['[U:1:213858425]', '[U:1:198762683]', '[U:1:1162104086]', '[U:1:229064914]', '[U:1:246241288]', '[U:1:970085272]']","['[U:1:978148563]', '[U:1:117579832]', '[U:1:119225495]', '[U:1:842830053]', '[U:1:73086130]', '[U:1:307757367]']","[2, 2]"
"['[U:1:198762683]', '[U:1:842830053]', '[U:1:156440371]', '[U:1:978148563]', '[U:1:213858425]', '[U:1:150597945]']","['[U:1:117579832]', '[U:1:1162104086]', '[U:1:209647313]', '[U:1:155227384]', '[U:1:73086130]', '[U:1:77996061]']","[0, 3]"
"['[U:1:169764222]', '[U:1:395380187]', '[U:1:117579832]', '[U:1:156440371]', '[U:1:198762683]', '[U:1:842830053]']","['[U:1:183047241]', '[U:1:978148563]', '[U:1:209647313]', '[U:1:198377443]', '[U:1:1110603288]', '[U:1:73086130]']","[0, 0]"
"['[U:1:978148563]', '[U:1:438002921]', '[U:1:155227384]', '[U:1:73086130]', '[U:1:352052370]', '[U:1:342061447]']","['[U:1:87295840]', '[U:1:198762683]', '[U:1:842830053]', '[U:1:117579832]', '[U:1:169764222]', '[U:1:207531281]']","[3, 2]"
"['[U:1:87295840]', '[U:1:100621014]', '[U:1:207531281]', '[U:1:107304716]', '[U:1:198377443]', '[U:1:842830053]']","['[U:1:97033636]', '[U:1:198762683]', '[U:1:169764222]', '[U:1:73086130]', '[U:1:95707166]', '[U:1:342061447]', '[U:1:156276611]']","[2, 3]"
"['[U:1:395380187]', '[U:1:169764222]', '[U:1:95707166]', '[U:1:314449381]', '[U:1:126226938]', '[U:1:130301058]']","['[U:1:156501558]', '[U:1:100621014]', '[U:1:198762683]', '[U:1:155227384]', '[U:1:207531281]', '[U:1:97033636]']","[2, 5]"
"['[U:1:156501558]', '[U:1:213858425]', '[U:1:207531281]', '[U:1:128635382]', '[U:1:183047241]', '[U:1:1229126044]', '[U:1:249346279]']","['[U:1:219622414]', '[U:1:155227384]', '[U:1:1007792924]', '[U:1:1069849161]', '[U:1:368644786]', '[U:1:87295840]']","[1, 5]"
"['[U:1:95707166]', '[U:1:213858425]', '[U:1:128635382]', '[U:1:428241817]', '[U:1:489591700]', '[U:1:919085644]', '[U:1:842830053]']","['[U:1:100621014]', '[U:1:1278657853]', '[U:1:183047241]', '[U:1:314449381]', '[U:1:130301058]', '[U:1:1207021770]']","[2, 2]"
"['[U:1:130240722]', '[U:1:155227384]', '[U:1:173604068]', '[U:1:29086594]', '[U:1:1069849161]', '[U:1:914486159]']","['[U:1:219622414]', '[U:1:87295840]', '[U:1:1007792924]', '[U:1:198377443]', '[U:1:249346279]', '[U:1:368644786]']","[0, 2]"
"['[U:1:100621014]', '[U:1:314449381]', '[U:1:95707166]', '[U:1:213858425]', '[U:1:96015935]', '[U:1:489591700]']","['[U:1:183047241]', '[U:1:1278657853]', '[U:1:229064914]', '[U:1:342061447]', '[U:1:428241817]', '[U:1:130301058]']","[5, 1]"
"['[U:1:100621014]', '[U:1:130240722]', '[U:1:314449381]', '[U:1:1278657853]', '[U:1:198377443]', '[U:1:914486159]']","['[U:1:342061447]', '[U:1:1290056453]', '[U:1:95707166]', '[U:1:96015935]', '[U:1:29086594]', '[U:1:1280960540]', '[U:1:428241817]']","[4, 2]"
"['[U:1:148811723]', '[U:1:247861908]', '[U:1:96015935]', '[U:1:342061447]', '[U:1:156276611]', '[U:1:185493316]']","['[U:1:919085644]', '[U:1:1086921574]', '[U:1:1290056453]', '[U:1:1278657853]', '[U:1:95707166]', '[U:1:1081196330]']","[3, 0]"
"['[U:1:998239081]', '[U:1:42954103]', '[U:1:60091269]', '[U:1:246241288]', '[U:1:1007792924]', '[U:1:342061447]']","['[U:1:29086594]', '[U:1:1164669412]', '[U:1:207531281]', '[U:1:107304716]', '[U:1:409701962]', '[U:1:1290056453]']","[3, 2]"
"['[U:1:42954103]', '[U:1:921741768]', '[U:1:198762683]', '[U:1:342061447]', '[U:1:1164669412]', '[U:1:207531281]']","['[U:1:29086594]', '[U:1:998239081]', '[U:1:1290056453]', '[U:1:409701962]', '[U:1:130301058]', '[U:1:60091269]']","[2, 5]"
"['[U:1:921741768]', '[U:1:409701962]', '[U:1:154627863]', '[U:1:125929526]', '[U:1:130301058]', '[U:1:1290056453]']","['[U:1:998239081]', '[U:1:29086594]', '[U:1:198762683]', '[U:1:207531281]', '[U:1:60091269]', '[U:1:342061447]']","[3, 1]"
"['[U:1:219622414]', '[U:1:1203006976]', '[U:1:1007792924]', '[U:1:128635382]', '[U:1:130240722]', '[U:1:317981219]']","['[U:1:893485704]', '[U:1:129395833]', '[U:1:1052789333]', '[U:1:990182760]', '[U:1:409701962]', '[U:1:970085272]']","[2, 0]"
"['[U:1:1203006976]', '[U:1:893485704]', '[U:1:409701962]', '[U:1:1052789333]', '[U:1:914486159]', '[U:1:73086130]']","['[U:1:129395833]', '[U:1:483032880]', '[U:1:128635382]', '[U:1:998239081]', '[U:1:1007792924]', '[U:1:302544351]']","[4, 1]"
"['[U:1:1203006976]', '[U:1:229064914]', '[U:1:117579832]', '[U:1:128635382]', '[U:1:130967711]', '[U:1:893485704]']","['[U:1:487334809]', '[U:1:185493316]', '[U:1:1278657853]', '[U:1:1007792924]', '[U:1:173604068]', '[U:1:919085644]']","[0, 2]"
"['[U:1:483032880]', '[U:1:302544351]', '[U:1:978148563]', '[U:1:73086130]', '[U:1:914486159]', '[U:1:1052789333]']","['[U:1:1086921574]', '[U:1:209647313]', '[U:1:156440371]', '[U:1:77434945]', '[U:1:904306638]', '[U:1:998239081]']","[3, 1]"
"['[U:1:126226938]', '[U:1:229064914]', '[U:1:246241288]', '[U:1:173604068]', '[U:1:342061447]', '[U:1:130967711]']","['[U:1:1203006976]', '[U:1:893485704]', '[U:1:185493316]', '[U:1:117579832]', '[U:1:409701962]', '[U:1:155227384]']","[1, 4]"
"['[U:1:1052789333]', '[U:1:893485704]', '[U:1:409701962]', '[U:1:1086921574]', '[U:1:73086130]', '[U:1:207531281]']","['[U:1:117579832]', '[U:1:198762683]', '[U:1:173604068]', '[U:1:914486159]', '[U:1:342061447]', '[U:1:978148563]']","[2, 3]"
"['[U:1:998239081]', '[U:1:183962091]', '[U:1:246241288]', '[U:1:126226938]', '[U:1:105013257]', '[U:1:96015935]']","['[U:1:219622414]', '[U:1:155227384]', '[U:1:485271219]', '[U:1:404440631]', '[U:1:494260720]', '[U:1:185493316]']","[2, 1]"
"['[U:1:123354056]', '[U:1:117579832]', '[U:1:409701962]', '[U:1:73086130]', '[U:1:107304716]', '[U:1:207531281]']","['[U:1:171938429]', '[U:1:342061447]', '[U:1:893485704]', '[U:1:198762683]', '[U:1:1052789333]', '[U:1:978148563]']","[4, 0]"
"['[U:1:342061447]', '[U:1:998239081]', '[U:1:126226938]', '[U:1:207531281]', '[U:1:485271219]', '[U:1:489591700]']","['[U:1:404440631]', '[U:1:155227384]', '[U:1:171938429]', '[U:1:123354056]', '[U:1:96015935]', '[U:1:156276611]']","[1, 5]"
"['[U:1:126226938]', '[U:1:105013257]', '[U:1:342061447]', '[U:1:350058571]', '[U:1:190430491]', '[U:1:246241288]']","['[U:1:98528050]', '[U:1:148811723]', '[U:1:100621014]', '[U:1:150597945]', '[U:1:107304716]', '[U:1:485271219]']","[2, 4]"
"['[U:1:126226938]', '[U:1:100621014]', '[U:1:452358924]', '[U:1:105013257]', '[U:1:190430491]', '[U:1:409701962]']","['[U:1:342061447]', '[U:1:98528050]', '[U:1:150597945]', '[U:1:438002921]', '[U:1:485271219]', '[U:1:350058571]']","[1, 4]"
"['[U:1:402718118]', '[U:1:229064914]', '[U:1:176300678]', '[U:1:998239081]', '[U:1:207531281]', '[U:1:130301058]']","['[U:1:198762683]', '[U:1:156269909]', '[U:1:95707166]', '[U:1:98528050]', '[U:1:96015935]', '[U:1:133515365]']","[1, 5]"
"['[U:1:155227384]', '[U:1:121705589]', '[U:1:158263311]', '[U:1:1290056453]', '[U:1:1186972442]', '[U:1:73086130]']","['[U:1:1203006976]', '[U:1:1258031600]', '[U:1:183962091]', '[U:1:409701962]', '[U:1:489591700]', '[U:1:487334809]']","[0, 2]"
"['[U:1:409701962]', '[U:1:1007792924]', '[U:1:1290056453]', '[U:1:198377443]', '[U:1:117579832]', '[U:1:241181071]']","['[U:1:1203006976]', '[U:1:468494252]', '[U:1:978148563]', '[U:1:438002921]', '[U:1:919085644]', '[U:1:155227384]']","[0, 2]"
"['[U:1:395380187]', '[U:1:121705589]', '[U:1:1258031600]', '[U:1:158263311]', '[U:1:128635382]', '[U:1:489591700]']","['[U:1:209647313]', '[U:1:44079783]', '[U:1:73086130]', '[U:1:248477272]', '[U:1:83930987]', '[U:1:487334809]']","[4, 3]"
"['[U:1:1203006976]', '[U:1:162401190]', '[U:1:249346279]', '[U:1:117579832]', '[U:1:978148563]', '[U:1:1128930437]']","['[U:1:154627863]', '[U:1:1290056453]', '[U:1:422224000]', '[U:1:100621014]', '[U:1:155227384]', '[U:1:1278657853]']","[0, 5]"
"['[U:1:128635382]', '[U:1:198762683]', '[U:1:361202567]', '[U:1:121705589]', '[U:1:489591700]', '[U:1:158263311]', '[U:1:422224000]']","['[U:1:395380187]', '[U:1:487334809]', '[U:1:209647313]', '[U:1:83930987]', '[U:1:468494252]', '[U:1:44079783]']","[0, 5]"
"['[U:1:409701962]', '[U:1:1278657853]', '[U:1:100621014]', '[U:1:162401190]', '[U:1:117579832]', '[U:1:73086130]']","['[U:1:98528050]', '[U:1:1290056453]', '[U:1:60959017]', '[U:1:238849269]', '[U:1:978148563]', '[U:1:350058571]']","[1, 4]"
"['[U:1:86972215]', '[U:1:98528050]', '[U:1:73086130]', '[U:1:914486159]', '[U:1:978148563]', '[U:1:249346279]']","['[U:1:198762683]', '[U:1:1290056453]', '[U:1:207531281]', '[U:1:238849269]', '[U:1:158263311]', '[U:1:919085644]']","[1, 5]"
"['[U:1:402718118]', '[U:1:98528050]', '[U:1:198762683]', '[U:1:248477272]', '[U:1:342061447]', '[U:1:157883802]', '[U:1:150597945]']","['[U:1:84980776]', '[U:1:1186972442]', '[U:1:485271219]', '[U:1:119225495]', '[U:1:998239081]', '[U:1:156276611]']","[5, 2]"
"['[U:1:126226938]', '[U:1:998239081]', '[U:1:121079858]', '[U:1:155227384]', '[U:1:119225495]', '[U:1:84980776]']","['[U:1:402718118]', '[U:1:404440631]', '[U:1:485271219]', '[U:1:339024341]', '[U:1:150597945]', '[U:1:105013257]']","[2, 0]"
"['[U:1:404440631]', '[U:1:121079858]', '[U:1:998239081]', '[U:1:914486159]', '[U:1:485271219]', '[U:1:155227384]']","['[U:1:402718118]', '[U:1:97033636]', '[U:1:198762683]', '[U:1:339024341]', '[U:1:84980776]', '[U:1:207531281]']","[4, 1]"
"['[U:1:171938429]', '[U:1:128635382]', '[U:1:1278657853]', '[U:1:198762683]', '[U:1:156440371]', '[U:1:158263311]', '[U:1:60959017]']","['[U:1:87295840]', '[U:1:207531281]', '[U:1:117579832]', '[U:1:409701962]', '[U:1:1050919710]', '[U:1:73086130]']","[2, 3]"
